	id	level
0	8L30B9BNJEC1U4JOJX	15.373108106405109
1	NWW0APIM41A7SSXH4J	32.94701731091316
2	YJYOHRYXLOC72HEHAP	10.590096553193407
3	KY6735RE61LRSJ41PN	98.47714350999006
4	IXE6T4BHSC22LTD4TN	3.0605983777568624
5	45CPSKJDD899QQE8F0	23.51529312624675
6	TU7ODWPOJXWYPC5SUP	9.229690489999909
7	UYZS1XQK4V6SJJNGWV	92.17127284322748
8	JD3U0D6YX1H8YOP5ZJ	77.14173031417597
9	19WYZPKF7ZXY9DYN21	10.841304645914661
10	ADA5Z5Y62D4124254N	46.37499022786243
11	OORGVJKE7MQMJKDX7T	92.126272406178
12	2U98Y9RO9XBTN7WLBO	87.48429257093036
13	TW3EPKDN19QTWQUPBI	37.60916200794665
14	7UETKZKON9TRNLSYS3	19.10143664830184
15	XBP6GWAUT3M02XNU2P	77.23371480237549
16	OXYKN7VAOWYYB99HQ5	89.82518470300175
17	5DE88QRI2GWIEY1CPE	60.852316457879596
18	ICJ2XUW9M1S4VR0PWP	93.78773287204638
19	GXIJ0XICFFZK3XUWZL	4.067217174517124
20	3QMVFTE3VT3UB12I02	24.634584779868796
21	DLVR1FYO208YFPEFBA	93.84909224613239
22	0ONKK715B2ZI6ZD8KC	91.92940770571717
23	W2DMLUFXI9KJ8JHOXW	59.77072092637478
24	XOCNHOBUXLWFXWFRXD	1.9094817967010846
25	QVJYEL73SG3NRJS2SR	8.067275833107068
26	EYNFC2FUB884BWP53L	10.083911673070977
27	KFLWNHBIN2WFDTAFAX	66.59568030063377
28	BBF96U1GCDV7KR6VUB	91.65278515506003
29	ZA1K0QOTFHYUCNT3IF	51.386111930528585
30	K6SF81B4KNL63FQOV8	74.09974803366116
31	9QEHHG99QPXIN5QPHP	53.09767745166922
32	XCKQS5VMV8LJ3CIQSU	55.376926412009894
33	PP3HQWQ1CSGXTR0GTQ	59.64299380449947
34	LUQ45T49GASWGLWF99	48.083275306821804
35	WBT5EFXY02ILBX9UZ4	51.57331672171045
36	2LQCD31VOB20NLK1UR	26.318919176564282
37	DWCITRQKI4SWDTBRXZ	47.714446651402454
38	LTSH8QYR3Z8ZOD30I7	65.66184568224524
39	2DE64EFN3Z8ONIZMV7	68.98715476509906
40	W4TQD5CLAN4RUF0PUS	24.823694353137704
41	PSQK5X7PEQJA83ACX5	39.224355432337866
42	M7TX5GUR45WE8L7NZX	44.51979010849869
43	372AT4Y95RI3CXIB2Q	93.20070383622146
44	A5FSF8396FKNKB3TCV	10.478624436262052
45	T9NOAJWN3NDMIIAWI4	59.70266513731253
46	L28PQ12A65BZWRTS6P	81.43645560496165
47	2OULBFZRLX7LI5MPTC	52.140106841645306
